NTA,Job created
Battery Park City-Lower Manhattan,0.0
Bushwick South,10.0
Carroll Gardens-Columbia Street-Red Hook,0.0
College Point,2.0
Crown Heights North,0.0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.0
East New York,15.0
East Williamsburg,0.0
Greenpoint,0.0
Hunters Point-Sunnyside-West Maspeth,0.0
Hunts Point,12.0
Manhattanville,0.0
Maspeth,10.0
Mott Haven-Port Morris,10.0
Queensbridge-Ravenswood-Long Island City,0.0
Steinway,20.0
Sunset Park West,0.0
park-cemetery-etc-Brooklyn,0.0
